Biden_ Harris,Trump_ Pence,Blankenship_ Mohr,Hammons_Bodenstab,Hawkins_Walker,Huber_Atwood,Jorgensen_Cohen,Carroll_Patel,Charles_Wallace,Collins_Parker,De_La_Fuente_Richardson,Hunter_Adams,Jacob-Fambro_Maryam Kennedy_Jarrett,Kishore_Santa_Cruz,Kopitke_Re-Vo-Sorenson,La_Riva_Freeman,McHugh_Storm,Pierce_Ballard,Scott_Tepool,West_Tidball,
County,Registered Voters,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice_Total,TotalVotes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total,
Pueblo,0,43772,43772,42252,42252,169,169,94,94,205,205,12,12,1200,1200,35,35,71,71,34,34,38,38,16,16,17,17,11,11,10,10,21,21,32,32,25,25,23,23,7,7,255,255,88299,
Rio Blanco,0,561,561,3061,3061,4,4,3,3,3,3,0,0,42,42,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,11,11,3691,
Rio Grande,0,2495,2495,3660,3660,15,15,2,2,11,11,1,1,66,66,1,1,11,11,5,5,3,3,0,0,0,0,2,2,2,2,3,3,4,4,3,3,1,1,0,0,20,20,6305,
Routt,0,10582,10582,5925,5925,20,20,15,15,37,37,0,0,236,236,6,6,13,13,0,0,0,0,0,0,2,2,1,1,0,0,1,1,2,2,0,0,4,4,1,1,31,31,16876,
Saguache,0,1884,1884,1413,1413,8,8,2,2,13,13,0,0,39,39,3,3,6,6,0,0,0,0,2,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,15,15,3389,
San Juan,0,342,342,202,202,1,1,1,1,2,2,0,0,7,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,2,562,
San Miguel,0,3923,3923,1136,1136,2,2,2,2,14,14,0,0,52,52,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,11,11,5146,
Sedgwick,0,301,301,1121,1121,7,7,1,1,1,1,0,0,8,8,0,0,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1446,
Summit,0,12620,12620,5319,5319,16,16,14,14,60,60,3,3,353,353,6,6,13,13,4,4,1,1,3,3,2,2,1,1,1,1,0,0,3,3,4,4,3,3,0,0,39,39,18465,
Teller,0,5278,5278,11241,11241,28,28,10,10,25,25,1,1,267,267,18,18,10,10,0,0,1,1,1,1,0,0,2,2,2,2,6,6,2,2,7,7,2,2,1,1,37,37,16939,
Washington,0,369,369,2595,2595,4,4,2,2,5,5,1,1,25,25,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,3008,
Weld,0,66050,66050,96133,96133,363,363,170,170,340,340,18,18,2895,2895,115,115,120,120,27,27,39,39,14,14,13,13,12,12,7,7,51,51,44,44,45,45,32,32,9,9,449,449,166946,
Yuma,0,785,785,4107,4107,8,8,2,2,2,2,0,0,52,52,0,0,5,5,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,3,3,0,0,1,1,10,10,4981,
Totals:,0,1803921,1803921,1364202,1364202,5059,5059,2729,2729,8981,8981,355,355,52427,52427,2514,2514,2007,2007,568,568,636,636,379,379,495,495,354,354,196,196,762,762,1035,1035,614,614,572,572,175,175,8080,8080,3256061,
